item_id,original_group
item_0001,foundations-of-cybersecurity
item_0002,generative-ai-with-llms
item_0003,manage-security-risks
item_0004,foundations-user-experience-design
item_0005,networks-and-network-security
item_0006,linux-and-sql
item_0007,introduction-to-generative-ai-for-software-development
item_0008,start-ux-design-process
item_0009,cybersecurity-for-everyone
item_0010,assets-threats-and-vulnerabilities
item_0011,machine-learning-linear-algebra
item_0012,python
item_0013,detection-and-response
item_0014,wireframes-low-fidelity-prototypes
item_0015,automate-cybersecurity-tasks-with-python
item_0016,team-software-engineering-with-ai
item_0017,prepare-for-cybersecurity-jobs
item_0018,conduct-ux-research
item_0019,high-fidelity-designs-prototype
item_0020,ai-powered-software-and-system-design
item_0021,introduction-to-front-end-development
item_0022,introduction-to-software-engineering
item_0023,responsive-web-design-adobe-xd
item_0024,python-data
item_0025,introduction-tensorflow
item_0026,ux-design-jobs
item_0027,machine-learning-calculus
item_0028,machine-learning-probability-and-statistics
item_0029,programming-with-javascript
item_0030,build-a-computer
item_0031,introduction-to-version-control
item_0032,learn-to-program
item_0033,python-programming-intro
item_0034,technical-writing-introduction
item_0035,python-network-data
item_0036,algorithms-divide-conquer
item_0037,react-basics
item_0038,html-and-css-in-depth
item_0039,advanced-react
item_0040,gamification
item_0041,python-databases
item_0042,principles-of-ux-ui-design
item_0043,introduction-to-game-design
item_0044,nand2tetris2
item_0045,python-basics
item_0046,introduction-html-css-javascript
item_0047,agile-development-and-scrum
item_0048,intro-self-driving-cars
item_0049,uva-darden-getting-started-agile
item_0050,computational-thinking-problem-solving
item_0051,introduction-google-workspace
item_0052,introduction-to-cybersecurity-careers
item_0053,snowflake-intro-app-developers-data-scientists-data-engineers
item_0054,fundamentals-of-uiux-design
item_0055,matlab
item_0056,uol-machine-learning-for-all
item_0057,intro-to-devops
item_0058,introduction-to-back-end-development
item_0059,web-development
item_0060,java-programming
item_0061,data-engineering-snowflake
item_0062,introduction-to-software-development
item_0063,product-management-foundations-and-stakeholder-collaboration
item_0064,html-css-javascript-for-web-developers
item_0065,industrial-iot-markets-security
item_0066,developing-frontend-apps-with-react
item_0067,google-cloud-java-spring
item_0068,blockchain-basics
item_0069,coding-interview-preparation
item_0070,algorithmic-toolbox
item_0071,getting-started-with-git-and-github
item_0072,python-programming-fundamentals
item_0073,cs-fundamentals-1
item_0074,introduction-to-3d-modeling
item_0075,python-project-for-ai-application-development
item_0076,introduction-to-computers-and-office-productivity-software
item_0077,meta-front-end-developer-capstone
item_0078,hands-on-introduction-to-linux-commands-and-shell-scripting
item_0079,c-for-everyone
item_0080,excel-vba-for-creative-problem-solving-part-1
item_0081,introduction-to-certified-scrum-master
item_0082,uva-darden-continous-delivery-devops
item_0083,linux-system-programming-introduction-to-buildroot
item_0084,effective-scala
item_0085,blockchain-platforms
item_0086,duke-programming-web
item_0087,cyber-security-fundamentals
item_0088,learn-to-code-with-ai
item_0089,managing-google-workspace
item_0090,everyday-excel-part-1
item_0091,an-introduction-to-programming-using-python
item_0092,uva-darden-agile-testing
item_0093,developing-backend-apps-with-nodejs-and-express
item_0094,product-management-initial-product-strategy-and-plan
item_0095,react-native-course
item_0096,object-oriented-design
item_0097,vfx-with-adobe-after-effects-from-novice-to-expert
item_0098,kali-linux
item_0099,vlsi-cad-logic
item_0100,smarter-contracts
item_0101,uva-darden-agile-analytics
item_0102,intro-programming
item_0103,introduction-to-android-mobile-application-development
item_0104,algorithms-graphs-data-structures
item_0105,introduction-software-testing
item_0106,algorithms-searching-sorting-indexing
item_0107,intro-sql
item_0108,django-web-framework
item_0109,llama-for-python-programmers
item_0110,web-applications-php
item_0111,introduction-programming-unity
item_0112,intro-to-dotnet-core
item_0113,java-object-oriented-programming
item_0114,decentralized-apps-on-blockchain
item_0115,digital-forensics-essentials-dfe
item_0116,dynamic-programming-greedy-algorithms
item_0117,python-functions-files-dictionaries
item_0118,apis
item_0119,intro-to-databases-back-end-development
item_0120,the-full-stack
item_0121,google-workspace-security
item_0122,csm-practice-process-management
item_0123,operations-research-modeling
item_0124,ar
item_0125,data-structures
item_0126,programming-fundamentals
item_0127,introduction-to-software-product-management
item_0128,applications-development-microservices-serverless-openshift
item_0129,object-oriented-java
item_0130,database-design-postgresql
item_0131,html
item_0132,what-is-a-proof
item_0133,single-page-web-apps-with-angularjs
item_0134,java-introduction
item_0135,software-processes-and-agile-practices
item_0136,iot
item_0137,state-estimation-localization-self-driving-cars
item_0138,intro-to-mobile-development
item_0139,programming-languages
item_0140,design-patterns
item_0141,cloud-computing
item_0142,google-workspace-mail-management
item_0143,introduction-to-web-development-with-html-css-javacript
item_0144,ball-state-university-introduction-to-programming-open-content
